pos,type,value,error
10,buffer,8.884,1.585
20,-XX:+UseBiasedLocking,8.884,1.585
30,-XX:-UseBiasedLocking,24.409,4.486
20,buffer -XX:+UseBiasedLocking,8.884,1.585
30,buffer -XX:-UseBiasedLocking,24.409,4.486
40,bufferWithIdHashCode,24.509,0.549
