pos,alloc,value,error
10,single-threaded,3.574,0.085
20,java,6.350,0.022
25,tlab,8.083,0.143
28,epsilon,75.289,23.667
30,sync,175.003,0.348
40,cas,96.696,1.466
55,javaHashCode,79.895,0.378
57,readHashCode,3.938,0.085
